index,HHID,HLID,country
6_Congo_MICS6_5_25_5,6_Congo_MICS6_5_25,6_Congo_MICS6_5_25_5,Congo_MICS6
6_Congo_MICS6_5_25_7,6_Congo_MICS6_5_25,6_Congo_MICS6_5_25_7,Congo_MICS6
6_Congo_MICS6_5_26_1,6_Congo_MICS6_5_26,6_Congo_MICS6_5_26_1,Congo_MICS6
6_Congo_MICS6_5_26_3,6_Congo_MICS6_5_26,6_Congo_MICS6_5_26_3,Congo_MICS6
6_Congo_MICS6_5_27_1,6_Congo_MICS6_5_27,6_Congo_MICS6_5_27_1,Congo_MICS6
6_Congo_MICS6_5_29_2,6_Congo_MICS6_5_29,6_Congo_MICS6_5_29_2,Congo_MICS6
6_Congo_MICS6_5_30_5,6_Congo_MICS6_5_30,6_Congo_MICS6_5_30_5,Congo_MICS6
6_Congo_MICS6_5_30_6,6_Congo_MICS6_5_30,6_Congo_MICS6_5_30_6,Congo_MICS6
6_Congo_MICS6_5_30_7,6_Congo_MICS6_5_30,6_Congo_MICS6_5_30_7,Congo_MICS6
6_Congo_MICS6_5_30_11,6_Congo_MICS6_5_30,6_Congo_MICS6_5_30_11,Congo_MICS6
6_Congo_MICS6_6_1_1,6_Congo_MICS6_6_1,6_Congo_MICS6_6_1_1,Congo_MICS6
6_Congo_MICS6_6_3_3,6_Congo_MICS6_6_3,6_Congo_MICS6_6_3_3,Congo_MICS6
6_Congo_MICS6_6_3_4,6_Congo_MICS6_6_3,6_Congo_MICS6_6_3_4,Congo_MICS6
6_Congo_MICS6_6_3_5,6_Congo_MICS6_6_3,6_Congo_MICS6_6_3_5,Congo_MICS6
6_Congo_MICS6_6_3_7,6_Congo_MICS6_6_3,6_Congo_MICS6_6_3_7,Congo_MICS6
6_Congo_MICS6_6_3_9,6_Congo_MICS6_6_3,6_Congo_MICS6_6_3_9,Congo_MICS6
6_Congo_MICS6_6_4_2,6_Congo_MICS6_6_4,6_Congo_MICS6_6_4_2,Congo_MICS6
6_Congo_MICS6_6_5_2,6_Congo_MICS6_6_5,6_Congo_MICS6_6_5_2,Congo_MICS6
6_Congo_MICS6_6_7_2,6_Congo_MICS6_6_7,6_Congo_MICS6_6_7_2,Congo_MICS6
6_Congo_MICS6_6_7_3,6_Congo_MICS6_6_7,6_Congo_MICS6_6_7_3,Congo_MICS6
6_Congo_MICS6_6_8_3,6_Congo_MICS6_6_8,6_Congo_MICS6_6_8_3,Congo_MICS6
6_Congo_MICS6_6_8_4,6_Congo_MICS6_6_8,6_Congo_MICS6_6_8_4,Congo_MICS6
6_Congo_MICS6_6_9_1,6_Congo_MICS6_6_9,6_Congo_MICS6_6_9_1,Congo_MICS6
6_Congo_MICS6_6_10_2,6_Congo_MICS6_6_10,6_Congo_MICS6_6_10_2,Congo_MICS6
6_Congo_MICS6_6_11_1,6_Congo_MICS6_6_11,6_Congo_MICS6_6_11_1,Congo_MICS6
6_Congo_MICS6_6_11_2,6_Congo_MICS6_6_11,6_Congo_MICS6_6_11_2,Congo_MICS6
6_Congo_MICS6_6_11_3,6_Congo_MICS6_6_11,6_Congo_MICS6_6_11_3,Congo_MICS6
6_Congo_MICS6_6_11_7,6_Congo_MICS6_6_11,6_Congo_MICS6_6_11_7,Congo_MICS6
6_Congo_MICS6_6_12_1,6_Congo_MICS6_6_12,6_Congo_MICS6_6_12_1,Congo_MICS6
6_Congo_MICS6_6_12_4,6_Congo_MICS6_6_12,6_Congo_MICS6_6_12_4,Congo_MICS6
6_Congo_MICS6_6_13_2,6_Congo_MICS6_6_13,6_Congo_MICS6_6_13_2,Congo_MICS6
6_Congo_MICS6_6_13_3,6_Congo_MICS6_6_13,6_Congo_MICS6_6_13_3,Congo_MICS6
6_Congo_MICS6_6_14_2,6_Congo_MICS6_6_14,6_Congo_MICS6_6_14_2,Congo_MICS6
6_Congo_MICS6_6_14_6,6_Congo_MICS6_6_14,6_Congo_MICS6_6_14_6,Congo_MICS6
6_Congo_MICS6_6_15_2,6_Congo_MICS6_6_15,6_Congo_MICS6_6_15_2,Congo_MICS6
6_Congo_MICS6_6_15_7,6_Congo_MICS6_6_15,6_Congo_MICS6_6_15_7,Congo_MICS6
6_Congo_MICS6_6_16_1,6_Congo_MICS6_6_16,6_Congo_MICS6_6_16_1,Congo_MICS6
6_Congo_MICS6_6_16_7,6_Congo_MICS6_6_16,6_Congo_MICS6_6_16_7,Congo_MICS6
6_Congo_MICS6_6_16_15,6_Congo_MICS6_6_16,6_Congo_MICS6_6_16_15,Congo_MICS6
6_Congo_MICS6_6_17_2,6_Congo_MICS6_6_17,6_Congo_MICS6_6_17_2,Congo_MICS6
6_Congo_MICS6_6_17_3,6_Congo_MICS6_6_17,6_Congo_MICS6_6_17_3,Congo_MICS6
6_Congo_MICS6_6_18_1,6_Congo_MICS6_6_18,6_Congo_MICS6_6_18_1,Congo_MICS6
6_Congo_MICS6_6_19_2,6_Congo_MICS6_6_19,6_Congo_MICS6_6_19_2,Congo_MICS6
6_Congo_MICS6_6_19_3,6_Congo_MICS6_6_19,6_Congo_MICS6_6_19_3,Congo_MICS6
6_Congo_MICS6_6_20_3,6_Congo_MICS6_6_20,6_Congo_MICS6_6_20_3,Congo_MICS6
6_Congo_MICS6_6_20_4,6_Congo_MICS6_6_20,6_Congo_MICS6_6_20_4,Congo_MICS6
6_Congo_MICS6_6_20_5,6_Congo_MICS6_6_20,6_Congo_MICS6_6_20_5,Congo_MICS6
6_Congo_MICS6_6_21_2,6_Congo_MICS6_6_21,6_Congo_MICS6_6_21_2,Congo_MICS6
6_Congo_MICS6_6_21_4,6_Congo_MICS6_6_21,6_Congo_MICS6_6_21_4,Congo_MICS6
6_Congo_MICS6_6_22_2,6_Congo_MICS6_6_22,6_Congo_MICS6_6_22_2,Congo_MICS6
6_Congo_MICS6_6_23_2,6_Congo_MICS6_6_23,6_Congo_MICS6_6_23_2,Congo_MICS6
