,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_4_27_5,31.0,,2.0,1.0,1.0,2.0,2.0,1.0,17.0,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_4_28_2,32.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_4_28_4,31.0,,1.0,1.0,,2.0,2.0,1.0,6.0,2.0,3.0,1.0,1.0,,,10.0
6_Congo_MICS6_4_28_5,31.0,,1.0,2.0,,2.0,2.0,8.0,1.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_4_28_6,31.0,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_4_29_2,32.0,,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_4_30_2,40.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,7.0
6_Congo_MICS6_5_1_2,31.0,,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,10.0,5.0
6_Congo_MICS6_5_2_2,31.0,,2.0,1.0,1.0,1.0,1.0,,9.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_5_3_3,32.0,1.0,2.0,1.0,,2.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,,,7.0
6_Congo_MICS6_5_3_4,34.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_5_4_2,32.0,,2.0,2.0,1.0,2.0,,,7.0,2.0,2.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_5_6_2,20.0,,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_5_7_1,32.0,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_5_10_2,34.0,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_5_12_3,40.0,,1.0,1.0,,2.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,3.0,,8.0
6_Congo_MICS6_5_12_4,32.0,,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,,5.0
6_Congo_MICS6_5_12_5,31.0,,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,3.0,,,,,8.0
6_Congo_MICS6_5_12_8,,,,,,,,,,,,,,,,
6_Congo_MICS6_5_12_9,40.0,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,10.0,7.0
6_Congo_MICS6_5_14_2,32.0,,2.0,1.0,,1.0,2.0,3.0,93.0,2.0,3.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_5_14_3,31.0,,2.0,1.0,0.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_5_14_4,32.0,,2.0,1.0,,2.0,2.0,3.0,93.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_5_14_6,32.0,,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,10.0,6.0
6_Congo_MICS6_5_14_7,32.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_5_16_2,32.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_5_16_9,20.0,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,,8.0
6_Congo_MICS6_5_17_4,32.0,,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,8.0
6_Congo_MICS6_5_18_2,32.0,,2.0,1.0,0.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_5_19_2,31.0,,2.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,10.0,8.0
6_Congo_MICS6_5_20_2,10.0,,2.0,2.0,2.0,1.0,2.0,2.0,93.0,2.0,1.0,2.0,1.0,2.0,,7.0
6_Congo_MICS6_5_20_4,31.0,,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,10.0,5.0
